Date,away,GA,home,GH,Nothing,Overtimes,Notes
Thu Mar 12 2020,Valencia Basket,,Anadolu Efes,,,,Regular Season
Thu Mar 12 2020,Alba Berlin,,CSKA Moscow,,,,Regular Season
Thu Mar 12 2020,Kirolbet Baskonia,,Maccabi FOX Tel Aviv,,,,Regular Season
Thu Mar 12 2020,Olympiacos,,AX Armani Exchange Olimpia,,,,Regular Season
Thu Mar 12 2020,Crvena zvezda mts,,Real Madrid,,,,Regular Season
Fri Mar 13 2020,Žalgiris,,FC Barcelona,,,,Regular Season
Fri Mar 13 2020,Bayern Munich,,Khimki,,,,Regular Season
Fri Mar 13 2020,Olympiacos,,AX Armani Exchange Olimpia,,,,Regular Season
Fri Mar 13 2020,Panathinaikos OPAP,,Fenerbahçe Beko,,,,Regular Season
Fri Mar 13 2020,Zenit Saint Petersburg,,LDLC ASVEL,,,,Regular Season
Thu Mar 19 2020,Panathinaikos OPAP,,Alba Berlin,,,,Regular Season
Thu Mar 19 2020,Khimki,,FC Barcelona,,,,Regular Season
Thu Mar 19 2020,LDLC ASVEL,,CSKA Moscow,,,,Regular Season
Thu Mar 19 2020,Zenit Saint Petersburg,,Maccabi FOX Tel Aviv,,,,Regular Season
Fri Mar 20 2020,Kirolbet Baskonia,,Anadolu Efes,,,,Regular Season
Fri Mar 20 2020,Fenerbahçe Beko,,Bayern Munich,,,,Regular Season
Fri Mar 20 2020,Real Madrid,,Olympiacos,,,,Regular Season
Fri Mar 20 2020,AX Armani Exchange Olimpia,,Crvena zvezda mts,,,,Regular Season
Fri Mar 20 2020,Žalgiris,,Valencia Basket,,,,Regular Season
Tue Mar 24 2020,Alba Berlin,,Bayern Munich,,,,Regular Season
Tue Mar 24 2020,Maccabi FOX Tel Aviv,,CSKA Moscow,,,,Regular Season
Tue Mar 24 2020,Crvena zvezda mts,,Olympiacos,,,,Regular Season
Tue Mar 24 2020,Real Madrid,,Valencia Basket,,,,Regular Season
Tue Mar 24 2020,Fenerbahçe Beko,,Žalgiris,,,,Regular Season
Wed Mar 25 2020,Khimki,,Panathinaikos OPAP,,,,Regular Season
Wed Mar 25 2020,Anadolu Efes,,Zenit Saint Petersburg,,,,Regular Season
Wed Mar 25 2020,FC Barcelona,,LDLC ASVEL,,,,Regular Season
Wed Mar 25 2020,AX Armani Exchange Olimpia,,Kirolbet Baskonia,,,,Regular Season
Thu Mar 26 2020,Valencia Basket,,Alba Berlin,,,,Regular Season
Thu Mar 26 2020,Žalgiris,,Maccabi FOX Tel Aviv,,,,Regular Season
Thu Mar 26 2020,Bayern Munich,,Real Madrid,,,,Regular Season
Thu Mar 26 2020,CSKA Moscow,,Fenerbahçe Beko,,,,Regular Season
Fri Mar 27 2020,Panathinaikos OPAP,,Anadolu Efes,,,,Regular Season
Fri Mar 27 2020,Kirolbet Baskonia,,FC Barcelona,,,,Regular Season
Fri Mar 27 2020,Olympiacos,,Khimki,,,,Regular Season
Fri Mar 27 2020,LDLC ASVEL,,AX Armani Exchange Olimpia,,,,Regular Season
Fri Mar 27 2020,Zenit Saint Petersburg,,Crvena zvezda mts,,,,Regular Season
Thu Apr 2 2020,LDLC ASVEL,,Alba Berlin,,,,Regular Season
Thu Apr 2 2020,Real Madrid,,FC Barcelona,,,,Regular Season
Thu Apr 2 2020,AX Armani Exchange Olimpia,,Zenit Saint Petersburg,,,,Regular Season
Thu Apr 2 2020,Olympiacos,,Fenerbahçe Beko,,,,Regular Season
Fri Apr 3 2020,Crvena zvezda mts,,Bayern Munich,,,,Regular Season
Fri Apr 3 2020,Anadolu Efes,,Khimki,,,,Regular Season
Fri Apr 3 2020,Maccabi FOX Tel Aviv,,Panathinaikos OPAP,,,,Regular Season
Fri Apr 3 2020,Valencia Basket,,Kirolbet Baskonia,,,,Regular Season
Fri Apr 3 2020,CSKA Moscow,,Žalgiris,,,,Regular Season
Thu Apr 9 2020,CSKA Moscow,,AX Armani Exchange Olimpia,,,,Regular Season
Thu Apr 9 2020,FC Barcelona,,Olympiacos,,,,Regular Season
Thu Apr 9 2020,Crvena zvezda mts,,Valencia Basket,,,,Regular Season
Thu Apr 9 2020,Maccabi FOX Tel Aviv,,LDLC ASVEL,,,,Regular Season
Fri Apr 10 2020,Khimki,,Alba Berlin,,,,Regular Season
Fri Apr 10 2020,Fenerbahçe Beko,,Anadolu Efes,,,,Regular Season
Fri Apr 10 2020,Zenit Saint Petersburg,,Real Madrid,,,,Regular Season
Fri Apr 10 2020,Panathinaikos OPAP,,Kirolbet Baskonia,,,,Regular Season
Fri Apr 10 2020,Bayern Munich,,Žalgiris,,,,Regular Season
